GRIN_Accession,observation_value
PI423953,0
PI423954,0
PI423991,0
PI423994,0
PI423995,0
PI424148,0
PI424191,0
PI424193,0
PI424194,0
PI424196,0
PI424197,0
PI424198,0
PI424205,0
PI424207,0
PI424208,0
PI424242,0
PI427138,0
PI430457,0
PI430536,0
PI430594,0
PI436612,0
PI436618,0
PI436619,0
PI436620,0
PI437069,0
PI437070,0
PI437072,0
PI437076,0
PI437082,0
PI437090,0
PI437096,0
PI437100,0
PI437107,0
PI437113,0
PI437115,0
PI437141,0
PI437148,0
PI437149,0
PI437154,0
PI437155,0
PI437157,0
PI437158,0
PI437172,0
PI437173,0
PI437175,0
PI437180,0
PI437186,0
PI437191,0
PI437192,0
PI437193,0
PI437194,0
PI437196,0
PI437198,0
PI437199,0
PI437201,0
PI437202,0
PI437203,0
PI437206,0
PI437207,0
PI437208,0
PI437209,0
PI437210,0
PI437212,0
PI437215,0
PI437216,0
PI437217,0
PI437221,0
PI437222,0
PI437224,0
PI437225,0
PI437227,0
PI437228,0
PI437229,0
PI437230,0
PI437231,0
PI437232,0
PI437233,0
PI437234,0
PI437235,0
PI437238,0
PI437239,0
PI437240,0
PI437241,0
PI437242,0
PI437243,0
PI437244,0
PI437245,0
PI437249,0
PI437250,0
PI437252,0
PI437253,0
PI437254,0
PI437255,0
PI437256,0
PI437257,0
PI437259,0
PI437262,0
PI437263,0
PI437264,0
PI437266,0
PI437267,0
PI437268,0
PI437269,0
PI437272,0
PI437275,0
PI437276,0
PI437279,0
PI437280,0
PI437281,0
PI437283,0
PI437284,0
PI437285,0
PI437286,0
PI437287,0
PI437288,0
PI437289,0
PI437291,0
PI437293,0
PI437295,0
PI437296,0
PI437297,0
PI437302,0
PI437305,0
PI437310,0
PI437316,0
PI437320,0
PI437351,0
PI437354,0
PI437380,0
PI437413,0
PI437481,0
PI437483,0
PI437490,0
PI437502,0
PI437503,0
PI437506,0
PI437507,0
PI437512,0
PI437518,0
PI437521,0
PI437523,0
PI437527,0
PI437529,0
PI437536,0
PI437537,0
PI437542,0
PI437543,0
PI437549,0
PI437551,0
PI437552,0
PI437553,0
PI437557,0
PI437560,0
PI437561,0
PI437564,0
PI437565,0
PI437566,0
PI437570,0
PI437579,0
PI437582,0
PI437583,0
PI437587,0
PI437590,0
PI437599,0
PI437600,0
PI437620,0
PI437659,0
PI437660,0
PI437665,0
PI437681,0
PI437694,0
PI437701,0
PI437712,0
PI437720,0
PI437731,0
PI437735,0
PI437742,0
PI437746,0
PI437750,0
PI437754,0
PI437758,0
PI437759,0
PI437761,0
PI437764,0
PI437766,0
PI437767,0
PI437768,0
PI437769,0
PI437773,0
PI437775,0
PI437784,0
PI437812,0
PI437816,0
PI437826,0
PI437830,0
PI437831,0
PI437832,0
PI437852,0
PI437872,0
PI437906,0
PI437917,0
PI437923,0
PI437924,0
PI437927,0
PI437936,0
PI437939,0
PI437941,0
PI437947,0
PI437977,0
PI437982,0
PI437989,0
PI437998,0
PI437999,0
PI438013,0
PI438014,0
PI438015,0
PI438020,0
PI438021,0
PI438022,0
PI438025,0
PI438029,0
PI438035,0
PI438037,0
PI438039,0
PI438040,0
PI438041,0
PI438068,0
PI438117,0
PI438148,0
PI438155,0
PI438156,0
PI438157,0
PI438159,0
PI438162,0
PI438200,0
PI438204,0
PI438208,0
PI438217,0
PI438248,0
PI438264,0
PI438265,0
PI438267,0
PI438277,0
PI438279,0
PI438313,0
PI438318,0
PI438321,0
PI438326,0
PI438327,0
PI438336,0
PI438337,0
PI438349,0
PI438351,0
PI438355,0
PI438356,0
PI438359,0
PI438364,0
PI438371,0
PI438373,0
PI438374,0
PI438377,0
PI438379,0
PI438380,0
PI438384,0
PI438385,0
PI438387,0
PI438389,0
PI438390,0
PI438392,0
PI438394,0
PI438395,0
PI438396,0
PI438397,0
PI438399,0
PI438400,0
PI438402,0
PI438404,0
PI438405,0
PI438406,0
PI438411,0
PI438416,0
PI438417,0
PI438420,0
PI438421,0
PI438441,0
PI438447,0
PI438449,0
PI438456,0
PI438457,0
PI438468,0
PI438469,0
PI438470,0
PI438482,0
PI438510,0
PI442026,0
PI442033,0
PI445787,0
PI445789,0
PI445790,0
PI445792,0
PI445793,0
PI445795,0
PI445821,0
PI445822,0
PI445823,0
PI445831,0
PI445833,0
PI452432,0
PI458523,0
PI458535,0
PI458536,0
PI458827,0
PI464886,0
PI464900,0
PI464911,0
PI467309,0
PI467313,0
PI467319,0
PI467344,0
PI467345,0
PI468376,0
PI468904,0
PI468905,0
PI468905,0
PI468906,0
PI468906,0
PI468909,0
PI468910,0
PI468920,0
PI468922,0
PI475821,0
PI475825,0
PI475827,0
PI476347,0
PI476349,0
PI479716,0
PI479757,0
PI479768,0
PI479769,0
PI491578,0
PI494182,0
PI504506,0
PI506824,0
PI506832,0
PI507038,0
PI507129,0
PI507201,0
PI507285,0
PI507315,0
PI507351,0
PI507472,0
PI507547,0
PI507673,0
PI507688,0
PI507706,0
PI507712,0
PI507712,0
PI508083,0
PI508083,0
PI508084,0
PI508084,0
PI510679,0
PI511358,0
PI511866,0
PI511867,0
PI511869,0
PI512323,0
PI513382,0
PI514671,0
PI518702,0
PI518705,0
PI518829,0
PI518831,0
PI522186,0
PI532454,0
PI537096,0
PI538391,0
PI538395,0
PI538404,0
PI542403,0
PI542403,0
PI542403,0
PI542404,0
PI542769,0
PI548307,0
PI548311,0
PI548320,0
PI548332,0
PI548354,0
PI548379,0
PI548389,0
PI548404,0
PI548498,0
PI548500,0
PI548500,0
PI548500,0
PI548501,0
PI548534,0
PI548534,0
PI548534,0
PI548534,0
PI548539,0
PI548545,0
PI548560,0
PI548560,0
PI548560,0
PI548560,0
PI548567,0
PI548568,0
PI548568,0
PI548601,0
PI548615,0
PI548615,0
PI548615,0
PI548621,0
PI548623,0
PI548637,0
PI548638,0
PI548639,0
PI548642,0
PI548644,0
PI548649,0
PI548651,0
PI549052,0
PI549060,0
PI549069,0
PI549070,0
PI549073,0
PI549077,0
PI555463,0
PI556517,0
PI556615,0
PI556643,0
PI556737,0
PI556756,0
PI556767,0
PI556771,0
PI556836,0
PI556844,0
PI556849,0
PI556856,0
PI556895,0
PI561242,0
PI561332,0
PI561342,0
PI561344,0
PI561366,0
PI561584,0
PI562373,0
PI567158,0
PI567164,0
PI567165,0
PI567177,0
PI567179,0
PI567221,0
PI567225,0
PI567783,0
PI572275,0
PI572276,0
PI578293,0
PI578371,0
PI578372,0
PI578373,0
PI578377,0
PI578381,0
PI578389,0
PI578391,0
PI578394,0
PI578396,0
PI578404,0
PI578415,0
PI578422,0
PI578423,0
PI578424,0
PI578426,0
PI578427,0
PI578429,0
PI578433,0
PI578487,0
PI578501,0
PI578506,0
PI583365,0
PI584460,0
PI584461,0
PI70242-4,0
PI290116B,0
PI290116A,0
PI290123B,0
PI290123A,0
PI290129B,0
PI290129A,0
PI291311A,0
PI291319B,0
PI291319A,0
PI291320B,0
PI297498B,0
PI297498A,0
PI297507B,0
PI297507A,0
PI319534A,0
PI319534C,0
PI319536D,0
PI319536C,0
PI319536B,0
PI319537B,0
PI319537A,0
PI323586A,0
PI323586C,0
PI339868A,0
PI347550B,0
PI347559B,0
PI347559A,0
PI347563B,0
PI347563A,0
PI347565B,0
PI358316C,0
PI358317A,0
PI361059B,0
PI361061B,0
PI361061A,0
PI361077B,0
PI361077A,0
PI361085B,0
PI361085A,0
PI361097B,0
PI361097A,0
PI361123B,0
PI370057A,0
PI372403C,0
PI372421B,0
PI372421A,0
PI378656B,0
PI378656A,0
PI378660B,0
PI378660A,0
PI378669A,0
PI378669B,0
PI378674B,0
PI378674A,0
PI378675A,0
PI378675B,0
PI378677A,0
PI378680C,0
PI378680A,0
PI378680B,0
PI379559A,0
PI404155C,0
PI407386C,0
PI407386B,0
PI407708B,0
PI407708A,0
PI417150A,0
PI417150B,0
PI417513A,0
PI417519A,0
PI417536B,0
PI417536A,0
PI417537A,0
PI417544B,0
PI423708B,0
PI424195A,0
PI437078B,0
PI437078A,0
PI437079B,0
PI437079A,0
PI437109A,0
PI437135A,0
PI437153A,0
PI437166A,0
PI437169A,0
PI437174A,0
PI437189A,0
PI437205B,0
PI437205A,0
PI437211B,0
PI437223A,0
PI437246C,0
PI437246B,0
PI437246A,0
PI437251B,0
PI437251A,0
PI437260B,0
PI437260A,0
PI437261D,0
PI437261C,0
PI437261A,0
PI437261B,0
PI437265B,0
PI437265C,0
PI437265D,0
PI437265A,0
PI437292B,0
PI437292A,0
PI437294A,0
PI437306A,0
PI437339A,0
PI437344A,0
PI437363A,0
PI437389A,0
PI437419A,0
PI437474B,0
PI437474A,0
PI437501B,0
PI437501A,0
PI437508A,0
PI437526A,0
PI437593A,0
PI437597C,0
PI437597A,0
PI437597B,0
PI437598A,0
PI437611B,0
PI437615A,0
PI437615B,0
PI437630A,0
PI437633B,0
PI437633A,0
PI437646A,0
PI437650A,0
PI437676B,0
PI437676A,0
PI437680B,0
PI437721A,0
PI437740B,0
PI437740A,0
PI437753A,0
PI437756A,0
PI437772B,0
PI437772A,0
PI437774A,0
PI437857A,0
PI437910A,0
PI437910B,0
PI437915B,0
PI437915A,0
PI437933B,0
PI437933A,0
PI437955A,0
PI437957A,0
PI437991B,0
PI437991A,0
PI437995A,0
PI437996B,0
PI437996A,0
PI438016B,0
PI438016A,0
PI438019A,0
PI438027A,0
PI438050A,0
PI438094A,0
PI438109A,0
PI438111A,0
PI438138A,0
PI438158B,0
PI438158A,0
PI438160A,0
PI438160B,0
PI438233B,0
PI438233A,0
PI438239A,0
PI438319A,0
PI438319B,0
PI438331B,0
PI438348B,0
PI438348A,0
PI438358B,0
PI438358A,0
PI438360B,0
PI438375B,0
PI438375A,0
PI438446B,0
PI442038B,0
PI445816B,0
PI445816A,0
PI445820B,0
PI445820A,0
PI445827B,0
PI445827A,0
PI445829B,0
PI445829A,0
PI458532A,0
PI458825A,0
PI458826A,0
PI464875B,0
PI467323A,0
PI503339B,0
PI507525A,0
PI507525B,0
PI507685B,0
PI507686B,0
PI507715A,0
PI518291A,0
PI518706B,0
PI522188B,0
PI522192A,0
PI522192B,0
PI532436B,0
PI549076B,0
PI561299A,0
PI561302A,0
PI561389B,0
PI342619A,0
PI342619A,0
PI342619B,0
PI423989B,0
PI423990A,0
PI423990B,0
PI447003A,0
PI458539B,0
PI458540D,0
PI458540C,0
PI458540B,0
PI458540A,0
PI464869A,0
PI464869B,0
PI464871A,0
PI464871C,0
PI464871B,0
PI464925A,0
PI464925B,0
PI464929A,0
PI464929B,0
PI587091,0
PI590256,0
PI567598A,0
PI567598A,0
PI567156A,0
PI567157B,0
PI567157A,0
PI567174B,0
PI567209B,0
PI567211A,0
PI567211B,0
PI567212A,0
PI567212C,0
PI567212B,0
PI567213C,0
PI567213D,0
PI567217A,0
PI567220C,0
PI578482A,0
PI578482B,0
PI578485A,0
PI578375A,0
PI578388A,0
PI578428A,0
PI578428B,0
PI578432A,0
PI578482C,0
PI592560,0
PI593655,0
PI592909,0
PI592917,0
PI592918,0
PI592923,0
PI592924,0
PI592931,0
PI592943,0
PI592975,0
PI592976,0
PI593938,0
PI593939,0
PI593940,0
PI593941,0
PI593942,0
PI593942,0
PI593944,0
PI593997,0
PI593997,0
PI592892,0
PI594261,0
PI594279,0
PI592962A,0
PI596541,0
PI597390,0
PI597393,0
PI597395,0
PI597398,0
PI597400,0
PI597402,0
PI597422,0
PI597423,0
PI597425,0
PI597426,0
PI597433,0
PI597434,0
PI597435,0
PI597442,0
PI597442,0
PI597447,0
PI597467,0
PI597651,0
PI597652,0
PI599300,0
PI599300,0
PI602594,0
PI603153,0
PI603291,0
PI603292,0
PI603294,0
PI603295,0
PI603296,0
PI603297,0
PI603299,0
PI603300,0
PI603306,0
PI603306,0
PI603319,0
PI603320,0
PI603322,0
PI603328,0
PI603712,0
PI603900,0
PI593950B,0
PI594245B,0
PI597391C,0
PI597403A,0
PI597403B,0
PI597405A,0
PI597430A,0
PI597430B,0
PI612615,0
PI612712,0
PI612728,0
PI612739,0
PI612740,0
PI612745,0
PI612751,0
PI612755,0
PI612756,0
PI612757,0
PI612764,0
PI612764,0
PI603301A,0
PI603301B,0
PI603324A,0
PI603335A,0
PI603346A,0
PI603424A,0
PI603426E,0
PI603426B,0
PI603426D,0
PI603429A,0
PI603432B,0
PI603437C,0
PI603437B,0
PI603440C,0
PI603443B,0
PI603443B,0
PI603698A,0
PI603698F,0
PI603698C,0
PI603698J,0
PI603440A,0
PI603429B,0
PI603151B,0
PI607835,0
PI614831,0
PI612617B,0
PI612706B,0
PI612707A,0
PI612708A,0
PI612709A,0
PI612714A,0
PI612721B,0
PI612753A,0
PI612758A,0
PI612759A,0
PI612759B,0
PI612761A,0
PI612707B,0
PI612720A,0
PI605819B,0
PI615585,0
PI615586,0
PI618613,0
PI612622A,0
PI612622B,0
PI629004,0
PI629005,0
PI631437,0
PI631438,0
PI634813,0
PI638511,0
PI639531,0
PI639549,0
PI639551,0
PI639552,0
PI639553,0
PI639554,0
PI639567,0
PI639631,0
PI639529A,0
PI639529B,0
PI639550A,0
PI639550C,0
PI639550D,0
PI639555A,0
PI639555B,0
PI639559A,0
PI639630B,0
PI639630A,0
PI639632C,0
FC30685,00
FC30689,00
FC30691,00
FC30694,00
PI54855,00
PI132203,00
PI132214,00
PI132217,00
PI151249,00
PI152573,00
PI153203,00
PI153208,00
PI153210,00
PI153211,00
PI153212,00
PI153216,00
PI153217,00
PI153218,00
PI153219,00
PI153221,00
PI153222,00
PI153223,00
PI153225,00
PI153230,00
PI153234,00
PI153252,00
PI153297,00
PI153299,00
PI153301,00
PI153302,00
PI153303,00
PI153314,00
PI154190,00
PI154193,00
PI154197,00
PI154198,00
PI154199,00
PI154200,00
PI159764,00
PI161988,00
PI180499,00
PI180502,00
PI180507,00
PI180508,00
PI180509,00
PI180516,00
PI180517,00
PI180524,00
PI189860,00
PI189867,00
PI189874,00
PI189875,00
PI189877,00
PI189878,00
PI189879,00
PI189880,00
PI189886,00
PI189901,00
PI189906,00
PI189932,00
PI189936,00
PI189937,00
PI189952,00
PI189956,00
PI194624,00
PI194626,00
PI194627,00
PI194630,00
PI194631,00
PI194632,00
PI194635,00
PI194638,00
PI194643,00
PI194645,00
PI194646,00
PI194647,00
PI194648,00
PI194653,00
PI194654,00
PI194655,00
PI194656,00
PI196486,00
PI196525,00
PI196526,00
PI196527,00
PI227327,00
PI232997,00
PI232999,00
PI238920,00
PI238923,00
PI240079,00
PI250002,00
PI258386,00
PI258387,00
PI290120,00
PI290143,00
PI290150,00
PI290153,00
PI290155,00
PI290158,00
PI291326,00
PI295950,00
PI295951,00
PI295952,00
PI297501,00
PI297503,00
PI297524,00
PI297552,00
PI347551,00
PI347556,00
PI347561,00
PI358320,00
PI358322,00
PI360957,00
PI360958,00
PI360964,00
PI360965,00
PI361068,00
PI361072,00
PI361078,00
PI361083,00
PI361086,00
PI361100,00
PI361102,00
PI361107,00
PI361108,00
PI361111,00
PI361114,00
PI372406,00
PI372410,00
PI372420,00
PI372422,00
PI378659,00
PI378662,00
PI378666,00
PI378667,00
PI378668,00
PI378678,00
PI378681,00
PI384467,00
PI417518,00
PI417524,00
PI417531,00
PI417532,00
PI417547,00
PI417556,00
PI417564,00
PI423707,00
PI423709,00
PI423711,00
PI423715,00
PI423716,00
PI423717,00
PI423718,00
PI423719,00
PI423869,00
PI423988,00
PI423992,00
PI423993,00
PI423996,00
PI423997,00
PI423998,00
PI424000,00
PI424001,00
PI424002,00
PI424003,00
PI424190,00
PI430491,00
PI436613,00
PI437106,00
PI437108,00
PI437134,00
PI437136,00
PI437137,00
PI437138,00
PI437139,00
PI437140,00
PI437146,00
PI437147,00
PI437176,00
PI437177,00
PI437178,00
PI437179,00
PI437181,00
PI437183,00
PI437184,00
PI437185,00
PI437204,00
PI437214,00
PI437218,00
PI437219,00
PI437220,00
PI437226,00
PI437237,00
PI437247,00
PI437248,00
PI437258,00
PI437271,00
PI437274,00
PI437298,00
PI437299,00
PI437300,00
PI437301,00
PI437303,00
PI437315,00
PI437510,00
PI437528,00
PI437532,00
PI437534,00
PI437539,00
PI437541,00
PI437545,00
PI437548,00
PI437796,00
PI438154,00
PI438273,00
PI438285,00
PI438322,00
PI438352,00
PI438353,00
PI438365,00
PI438367,00
PI438368,00
PI438370,00
PI438378,00
PI438382,00
PI438393,00
PI438403,00
PI438412,00
PI438415,00
PI438433,00
PI438444,00
PI438448,00
PI438452,00
PI438453,00
PI438455,00
PI438459,00
PI438460,00
PI438461,00
PI438462,00
PI438463,00
PI438464,00
PI438466,00
PI438471,00
PI438472,00
PI438473,00
PI438474,00
PI438476,00
PI438477,00
PI438478,00
PI438513,00
PI442022,00
PI442023,00
PI442024,00
PI442025,00
PI442027,00
PI442029,00
PI442030,00
PI442031,00
PI442032,00
PI442034,00
PI442035,00
PI442036,00
PI442040,00
PI442042,00
PI442043,00
PI442044,00
PI442045,00
PI445786,00
PI445788,00
PI445798,00
PI445799,00
PI445800,00
PI445804,00
PI445805,00
PI445806,00
PI445811,00
PI445812,00
PI445813,00
PI445815,00
PI445817,00
PI445825,00
PI445832,00
PI445835,00
PI445836,00
PI449457,00
PI458531,00
PI458824,00
PI464876,00
PI464881,00
PI464928,00
PI468377,00
PI468904,00
PI468909,00
PI468910,00
PI468911,00
PI468911,00
PI468912,00
PI468912,00
PI468913,00
PI473572,00
PI476351,00
PI479715,00
PI479761,00
PI494526,00
PI503336,00
PI504492,00
PI507232,00
PI507350,00
PI507670,00
PI507672,00
PI507674,00
PI507675,00
PI507677,00
PI507680,00
PI507682,00
PI507689,00
PI507691,00
PI507700,00
PI507702,00
PI507703,00
PI507705,00
PI507710,00
PI507713,00
PI507714,00
PI511360,00
PI512324,00
PI514672,00
PI518704,00
PI518830,00
PI532438,00
PI532446,00
PI538406,00
PI538408,00
PI542402,00
PI542402,00
PI543932,00
PI548296,00
PI548325,00
PI548382,00
PI548395,00
PI548398,00
PI548498,00
PI548498,00
PI548499,00
PI548504,00
PI548504,00
PI548504,00
PI548515,00
PI548535,00
PI548544,00
PI548582,00
PI548582,00
PI548582,00
PI548582,00
PI548592,00
PI548592,00
PI548592,00
PI548593,00
PI548593,00
PI548593,00
PI548593,00
PI548595,00
PI548596,00
PI548600,00
PI548607,00
PI548607,00
PI548640,00
PI548643,00
PI548648,00
PI548650,00
PI549050,00
PI549054,00
PI549061,00
PI549074,00
PI549075,00
PI549078,00
PI549079,00
PI549080,00
PI556749,00
PI556751,00
PI556812,00
PI561272,00
PI561274,00
PI561275,00
PI561277,00
PI561279,00
PI561280,00
PI562372,00
PI567167,00
PI567171,00
PI567173,00
PI567178,00
PI567208,00
PI567226,00
PI567227,00
PI567228,00
PI567283,00
PI567784,00
PI572277,00
PI578397,00
PI578398,00
PI584459,00
PI161431A,00
PI319534B,00
PI319536A,00
PI347540C,00
PI347540B,00
PI347544B,00
PI347544A,00
PI358321C,00
PI358321A,00
PI358321B,00
PI361059A,00
PI361071A,00
PI361123A,00
PI372403A,00
PI372403B,00
PI404155A,00
PI407386A,00
PI407725B,00
PI407725A,00
PI417512B,00
PI417512A,00
PI417544A,00
PI423708A,00
PI437211A,00
PI437270B,00
PI437270A,00
PI437273B,00
PI437273A,00
PI437611A,00
PI437680A,00
PI437920A,00
PI437920B,00
PI438141B,00
PI438141A,00
PI438331A,00
PI438360A,00
PI438369B,00
PI438369A,00
PI438446A,00
PI438475B,00
PI442038A,00
PI445794B,00
PI445794A,00
PI445801B,00
PI445801A,00
PI445807B,00
PI445807A,00
PI445808B,00
PI445808A,00
PI445810C,00
PI445810B,00
PI445810A,00
PI445818B,00
PI445818A,00
PI464875A,00
PI476350A,00
PI476350B,00
PI476350C,00
PI503339A,00
PI504483A,00
PI507679A,00
PI507679B,00
PI507681A,00
PI507685A,00
PI507687B,00
PI507687A,00
PI507704A,00
PI507711A,00
PI507711B,00
PI507715B,00
PI507715B,00
PI532436A,00
PI549051B,00
PI549051A,00
PI549076A,00
PI561278B,00
PI561278A,00
PI561282A,00
PI561282D,00
PI561282C,00
PI561282B,00
PI561389A,00
PI342619B,00
PI342621A,00
PI342621C,00
PI342621B,00
PI423989A,00
PI423999A,00
PI423999B,00
PI464866A,00
PI464866B,00
PI464868A,00
PI464868B,00
PI590532,00
PI567174A,00
PI567175B,00
PI567175C,00
PI567200A,00
PI567200B,00
PI567209A,00
PI567213A,00
PI567213B,00
PI567215A,00
PI567216A,00
PI567216B,00
PI567216C,00
PI567220A,00
PI567220B,00
PI592523,00
PI592534,00
PI592915,00
PI592916,00
PI592922,00
PI593946,00
PI593951,00
PI561282E,00
PI597394,00
PI597399,00
PI597416,00
PI597417,00
PI602896,00
PI602897,00
PI603150,00
PI603169,00
PI603313,00
PI603314,00
PI593950A,00
PI594245A,00
PI597391A,00
PI597391B,00
PI612621,00
PI612710,00
PI603426A,00
PI603426C,00
PI603432A,00
PI603435A,00
PI603435B,00
PI603437A,00
PI603698G,00
PI602497B,00
PI638510,00
PI639548,00
PI639628,00
PI639634,00
PI653905,00
PI639557A,00
PI639557B,00
PI639633A,00
PI639633B,00
FC30687,000
PI153293,000
PI153296,000
PI180519,000
PI180521,000
PI180525,000
PI189868,000
PI189869,000
PI189940,000
PI189963,000
PI194633,000
PI194634,000
PI194636,000
PI194639,000
PI194640,000
PI194641,000
PI194644,000
PI196485,000
PI196491,000
PI196501,000
PI196502,000
PI196504,000
PI196528,000
PI196529,000
PI196530,000
PI198067,000
PI205090,000
PI231172,000
PI232998,000
PI248405,000
PI257429,000
PI257430,000
PI257431,000
PI258383,000
PI290156,000
PI360953,000
PI360954,000
PI360962,000
PI361073,000
PI361110,000
PI372411,000
PI372412,000
PI372423,000
PI379563,000
PI417511,000
PI417565,000
PI423710,000
PI423712,000
PI423713,000
PI423866,000
PI437085,000
PI437182,000
PI437188,000
PI437304,000
PI437313,000
PI437522,000
PI437596,000
PI438445,000
PI438454,000
PI438479,000
PI438480,000
PI438481,000
PI438483,000
PI442037,000
PI442041,000
PI445791,000
PI445797,000
PI445803,000
PI445809,000
PI445826,000
PI449459,000
PI458538,000
PI458546,000
PI464867,000
PI464870,000
PI464926,000
PI468382,000
PI468908,000
PI468908,000
PI468913,000
PI468921,000
PI470929,000
PI470930,000
PI494525,000
PI503335,000
PI504499,000
PI506697,000
PI506925,000
PI507500,000
PI507522,000
PI507565,000
PI507567,000
PI507698,000
PI511359,000
PI522187,000
PI532445,000
PI532467,000
PI548341,000
PI548399,000
PI548414,000
PI548594,000
PI548594,000
PI548594,000
PI548594,000
PI548594,000
PI561273,000
PI561276,000
PI567210,000
PI567218,000
PI567219,000
PI567787,000
PI567787,000
PI578387,000
PI578393,000
PI161431B,000
PI347540A,000
PI360955B,000
PI360955A,000
PI360963C,000
PI360963A,000
PI360963B,000
PI438475A,000
PI445824B,000
PI445824A,000
PI449456A,000
PI449456B,000
PI449458A,000
PI449458B,000
PI449460A,000
PI449460B,000
PI507704B,000
PI458537A,000
PI458537B,000
PI458539A,000
PI464927B,000
PI464927A,000
PI464927C,000
PI567175A,000
PI567224A,000
PI567224B,000
PI567224C,000
PI567224D,000
PI592961,000
PI593976,000
PI593979,000
PI603147,000
PI603149,000
PI603316,000
PI612620,000
PI639627,000
PI639629,000
PI639636,000
PI639637,000
FC3609,I
FC30233,I
FC31122,I
PI36653,I
PI54809,I
PI54834,I
PI54853,I
PI54854,I
PI54857,I
PI54865,I
PI63271,I
PI68554,I
PI68572,I
PI68576,I
PI68586,I
PI68610,I
PI68746,I
PI68770,I
PI69507,I
PI69533,I
